store_code,Site ID,Store Latitude,Store Longitude,polygon_edge,Point Latitude,Point Longitude,Store Status
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_19,12.861623562615893,77.56225871311172,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_20,12.861606274084812,77.56223537938594,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_21,12.861605445185205,77.56223383327287,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_22,12.86160511800626,77.56223285187826,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_23,12.861605069178026,77.56223234449868,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_24,12.861604839842856,77.5622320175043,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_25,12.861604955147403,77.56223115959386,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_26,12.861604941716292,77.56223102002971,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_27,12.861605695899833,77.56222564810915,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_28,12.861786839189605,77.56087787194015,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_29,12.861786727059721,77.56087718125544,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_30,12.861331473282156,77.56031979055093,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_31,12.86048813729359,77.5594147655818,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_32,12.860486896873818,77.55941296750021,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_33,12.860486494102789,77.55941207560124,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_34,12.860486563726024,77.55940844461831,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_35,12.86048700086992,77.55940755309246,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_36,12.860488310288046,77.55940575718992,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_37,12.860540799513696,77.55935172783394,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_38,12.860527326216872,77.55933523178102,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_39,12.86330497959262,77.55650644183613,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_40,12.86330497960602,77.5565064418224,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_41,12.863307671224415,77.55650370065142,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_42,12.863455042800048,77.55635361596664,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_43,12.863455400569862,77.55635316841487,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_44,12.86399992282074,77.55429267883302,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_45,12.863874408118003,77.55420684814455,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_46,12.866551337868009,77.55474314898261,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_47,12.866551736701117,77.55474275728515,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_48,12.866886743652135,77.55113840103151,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_49,12.868476572822013,77.55107402801515,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_50,12.868832191125536,77.5496792793274,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_51,12.871739874806305,77.54716873168947,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_52,12.870439652120625,77.54539042023123,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_53,12.870423399396117,77.54536922024015,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_54,12.870422831806378,77.54536834709532,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_55,12.870420980475963,77.54536488306748,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_56,12.870108229122435,77.54493713378908,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_57,12.869341920934437,77.54334585271653,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_58,12.869293240170855,77.54325476604762,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_59,12.869293014206598,77.5432511262326,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_60,12.869295147471627,77.54324872505009,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_61,12.869250564954688,77.54315614700319,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_62,12.870943747414831,77.54251288201112,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_63,12.871739874806305,77.53882169723512,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_64,12.868894947244403,77.53635406494142,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_65,12.869040121253946,77.53637533843397,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_66,12.869145971562835,77.53560304641725,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_67,12.869062296817944,77.53416538238527,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_68,12.869063069162046,77.53416384110703,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_69,12.86906315604848,77.53416339563607,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_70,12.869068289255889,77.53415342396653,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_71,12.870212822112942,77.53186941146852,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_72,12.870202212769797,77.53160571423018,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_73,12.870108648699013,77.53102245598795,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_74,12.87010860002154,77.53102173536598,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_75,12.870135634488223,77.52995089839975,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_76,12.86994088024687,77.52511024475099,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_77,12.869973124965819,77.52496591462337,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_78,12.869972680127573,77.52496035163037,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_79,12.869972768442718,77.52495915660771,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_80,12.870067487733305,77.52454353878265,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_81,12.870170984921973,77.52408027648927,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_82,12.870045473307185,77.52307176589967,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_83,12.868037278927382,77.52326488494874,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_84,12.86770425777449,77.52343774231242,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_85,12.867200232318678,77.52326154654035,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_86,12.867276618264096,77.52262733213247,Live
